ItemGroupID,ProductID,ProductName,Category,SubCategory,Style,Material,Color,Size,Price_INR,OriginalPrice_INR,Image_URL,Supports_360_View,Rating,Reviews,Description,Features,Specifications
101,101-SW-K,Platform Bed (Solid Wood, King),Bedroom,Beds,Modern,Solid Wood,Walnut Finish,King,55000,65000,https://picsum.photos/seed/101-swk/800,TRUE,4.8,156,"Modern king-size platform bed with built-in side tables and LED lighting","Built-in Tables,LED Lighting,Storage Drawers,Premium Wood","Dimensions: 183 x 203 x 35 cm, Weight: 85 kg, Warranty: 3 Years"
101,101-SW-Q,Platform Bed (Solid Wood, Queen),Bedroom,Beds,Modern,Solid Wood,Walnut Finish,Queen,52000,61000,https://picsum.photos/seed/101-swq/800,TRUE,4.7,142,"Modern queen-size platform bed with built-in side tables","Built-in Tables,Storage Drawers,Premium Wood","Dimensions: 152 x 203 x 35 cm, Weight: 75 kg, Warranty: 3 Years"
401,401-ER-WH,Ergonomic Chair (White),Office,Office Chairs,Modern,Mesh,White,High-Back,28000,34000,https://picsum.photos/seed/401-erwh/800,TRUE,4.7,134,"Modern white ergonomic chair with advanced features","Ergonomic Design,Adjustable Headrest,Lumbar Support,White Mesh","Dimensions: 68 x 68 x 115-125 cm, Weight: 22 kg, Warranty: 3 Years"

402,402-OD-L,L-Shaped Office Desk,Office,Office Desks,Professional,Engineered Wood,Dark Walnut,Large,35000,40000,https://picsum.photos/seed/402-odl/800,FALSE,4.5,112,"Spacious L-shaped office desk with cable management","L-Shaped Design,Cable Management,Multiple Drawers,Dark Walnut","Dimensions: 160 x 120 x 75 cm, Weight: 65 kg, Warranty: 2 Years"
402,402-OD-ST,Standing Desk (Adjustable),Office,Office Desks,Modern,Steel,White,Medium,45000,52000,https://picsum.photos/seed/402-odst/800,TRUE,4.8,89,"Electric height-adjustable standing desk","Electric Height Adjustment,Memory Settings,Cable Management,Ergonomic","Dimensions: 140 x 70 x 65-130 cm, Weight: 45 kg, Warranty: 3 Years"
402,402-OD-EX,Executive Desk (Premium),Office,Office Desks,Luxury,Solid Wood,Mahogany,Extra Large,85000,98000,https://picsum.photos/seed/402-odex/800,TRUE,4.9,67,"Luxury mahogany executive desk with premium features","Solid Mahogany,Brass Hardware,Multiple Drawers,Premium Quality","Dimensions: 200 x 100 x 75 cm, Weight: 120 kg, Warranty: 10 Years"

403,403-CT-8,Conference Table (8-Seater),Office,Conference Tables,Professional,Engineered Wood,Dark Oak,8-Seater,55000,65000,https://picsum.photos/seed/403-ct8/800,FALSE,4.6,78,"Professional 8-seater conference table with cable management","Cable Management,Dark Oak Finish,Sturdy Construction,Professional Design","Dimensions: 240 x 120 x 75 cm, Weight: 85 kg, Warranty: 3 Years"
403,403-CT-12,Conference Table (12-Seater),Office,Conference Tables,Professional,Solid Wood,Walnut,12-Seater,95000,110000,https://picsum.photos/seed/403-ct12/800,TRUE,4.8,56,"Large 12-seater solid walnut conference table","Solid Walnut,Premium Quality,Cable Management,Large Size","Dimensions: 360 x 140 x 75 cm, Weight: 150 kg, Warranty: 5 Years"

404,404-OF-3D,Office Storage (3-Door),Office,Storage,Professional,Steel,Grey,Large,18000,22000,https://picsum.photos/seed/404-of3d/800,FALSE,4.3,89,"Durable steel office storage cabinet","Steel Construction,3 Doors,Adjustable Shelves,Locking System","Dimensions: 90 x 40 x 180 cm, Weight: 45 kg, Warranty: 2 Years"
404,404-OF-WD,Office Storage (Wooden),Office,Storage,Professional,Solid Wood,Oak Finish,Large,32000,38000,https://picsum.photos/seed/404-ofwd/800,TRUE,4.7,67,"Premium wooden office storage with oak finish","Solid Wood,Oak Finish,Multiple Compartments,Premium Hardware","Dimensions: 120 x 50 x 200 cm, Weight: 75 kg, Warranty: 5 Years"

501,501-BP,Bunk Bed (Pine Wood),Kids,Bunk Beds,Kids,Pine Wood,Natural Pine,Twin,35000,40000,https://picsum.photos/seed/501-bp/800,FALSE,4.5,134,"Safe and sturdy pine wood bunk bed for kids","Pine Wood,Safety Rails,Ladder,Natural Finish","Dimensions: 105 x 205 x 155 cm, Weight: 65 kg, Warranty: 3 Years"
501,501-BW,Bunk Bed (MDF),Kids,Bunk Beds,Kids,MDF,White & Blue,Twin,32000,38000,https://picsum.photos/seed/501-bw/800,FALSE,4.4,98,"Colorful MDF bunk bed in white and blue","MDF Construction,Colorful Design,Safety Features,Easy Assembly","Dimensions: 105 x 205 x 155 cm, Weight: 55 kg, Warranty: 2 Years"
501,501-BL-ST,Bunk Bed (Storage),Kids,Bunk Beds,Kids,Engineered Wood,Pink & White,Twin,38000,45000,https://picsum.photos/seed/501-blst/800,TRUE,4.6,112,"Bunk bed with built-in storage and study area","Built-in Storage,Study Area,Safety Rails,Pink & White","Dimensions: 120 x 210 x 180 cm, Weight: 75 kg, Warranty: 3 Years"

502,502-ST-CH,Study Table with Chair,Kids,Study Sets,Kids,Engineered Wood,Blue & White,Standard,15000,18000,https://picsum.photos/seed/502-stch/800,FALSE,4.3,89,"Ergonomic study table and chair set for kids","Ergonomic Design,Height Adjustable,Blue & White,Storage Compartments","Dimensions: 100 x 60 x 75 cm (Table), Weight: 25 kg, Warranty: 2 Years"
502,502-ST-PK,Study Table (Pink),Kids,Study Tables,Kids,Engineered Wood,Pink,Standard,12000,15000,https://picsum.photos/seed/502-stpk/800,FALSE,4.2,67,"Cute pink study table with multiple drawers","Pink Finish,Multiple Drawers,Kid-Friendly Design,Easy Maintenance","Dimensions: 90 x 50 x 75 cm, Weight: 18 kg, Warranty: 2 Years"
502,502-ST-WH,Study Table (White),Kids,Study Tables,Kids,Solid Wood,White,Standard,18000,22000,https://picsum.photos/seed/502-stwh/800,TRUE,4.5,78,"Premium white solid wood study table","Solid Wood,White Finish,Premium Quality,Adjustable Height","Dimensions: 110 x 60 x 75 cm, Weight: 28 kg, Warranty: 3 Years"

503,503-KW-UNI,Kids Wardrobe (Unicorn),Kids,Wardrobes,Kids,Engineered Wood,Pink & Purple,Standard,25000,30000,https://picsum.photos/seed/503-kwuni/800,FALSE,4.4,56,"Colorful unicorn-themed wardrobe for kids","Unicorn Theme,Pink & Purple,Kid-Safe,Multiple Compartments","Dimensions: 120 x 50 x 180 cm, Weight: 45 kg, Warranty: 2 Years"
503,503-KW-CAR,Kids Wardrobe (Car Theme),Kids,Wardrobes,Kids,Engineered Wood,Red & Blue,Standard,26000,32000,https://picsum.photos/seed/503-kwcar/800,FALSE,4.5,67,"Fun car-themed wardrobe for boys","Car Theme,Red & Blue,Safety Features,Easy Access","Dimensions: 120 x 50 x 180 cm, Weight: 47 kg, Warranty: 2 Years"

504,504-KB-CAR,Kids Bed (Car Shape),Kids,Kids Beds,Kids,Engineered Wood,Red,Single,22000,26000,https://picsum.photos/seed/504-kbcar/800,TRUE,4.6,89,"Fun car-shaped bed for kids","Car Design,Safety Features,Red Color,Kid-Friendly","Dimensions: 200 x 90 x 50 cm, Weight: 35 kg, Warranty: 2 Years"
504,504-KB-PRI,Kids Bed (Princess),Kids,Kids Beds,Kids,Engineered Wood,Pink & Gold,Single,24000,28000,https://picsum.photos/seed/504-kbpri/800,TRUE,4.7,78,"Beautiful princess-themed bed for girls","Princess Theme,Pink & Gold,Safety Rails,Elegant Design","Dimensions: 200 x 90 x 100 cm, Weight: 38 kg, Warranty: 2 Years"

601,601-GD-6,Garden Dining Set (6-Seater),Outdoor,Dining Sets,Outdoor,Teak Wood,Natural Teak,6-Seater,45000,50000,https://picsum.photos/seed/601-gd6/800,FALSE,4.5,67,"Weather-resistant teak garden dining set","Teak Wood,Weather Resistant,6 Seater,Natural Finish","Dimensions: 150 x 90 x 75 cm (Table), Weight: 80 kg, Warranty: 3 Years"
601,601-GD-8,Garden Dining Set (8-Seater),Outdoor,Dining Sets,Outdoor,Teak Wood,Natural Teak,8-Seater,58000,65000,https://picsum.photos/seed/601-gd8/800,TRUE,4.6,45,"Large teak garden dining set for 8 people","Teak Wood,Weather Resistant,8 Seater,Premium Quality","Dimensions: 200 x 100 x 75 cm (Table), Weight: 120 kg, Warranty: 3 Years"

602,602-PR-2,Patio Recliner Set (2-Seater),Outdoor,Patio Sets,Outdoor,Aluminum,Charcoal,2-Seater,35000,40000,https://picsum.photos/seed/602-pr2/800,FALSE,4.4,78,"Comfortable aluminum patio recliner set","Aluminum Frame,Weather Resistant,Reclining Feature,Charcoal Color","Dimensions: 200 x 70 x 40-100 cm (Each), Weight: 45 kg, Warranty: 2 Years"
602,602-PR-4,Patio Recliner Set (4-Seater),Outdoor,Patio Sets,Outdoor,Aluminum,Brown,4-Seater,58000,68000,https://picsum.photos/seed/602-pr4/800,TRUE,4.6,56,"Spacious 4-seater patio recliner set","Aluminum Frame,Weather Resistant,4 Recliners,Brown Finish","Dimensions: 200 x 70 x 40-100 cm (Each), Weight: 85 kg, Warranty: 2 Years"

603,603-OL-4,Outdoor Lounge Set (4-Piece),Outdoor,Lounge Sets,Outdoor,Rattan,Natural,4-Piece,65000,75000,https://picsum.photos/seed/603-ol4/800,FALSE,4.5,89,"Elegant rattan outdoor lounge set","Rattan Construction,Weather Resistant,4-Piece Set,Natural Color","Dimensions: Various, Total Weight: 95 kg, Warranty: 2 Years"
603,603-OL-6,Outdoor Lounge Set (6-Piece),Outdoor,Lounge Sets,Outdoor,Rattan,Brown,6-Piece,85000,98000,https://picsum.photos/seed/603-ol6/800,TRUE,4.7,67,"Luxury 6-piece rattan outdoor lounge set","Rattan Construction,Weather Resistant,6-Piece Set,Brown Finish","Dimensions: Various, Total Weight: 140 kg, Warranty: 3 Years"

604,604-GS-TK,Garden Swing (Teak),Outdoor,Garden Furniture,Outdoor,Teak Wood,Natural Teak,3-Seater,28000,34000,https://picsum.photos/seed/604-gstk/800,TRUE,4.6,45,"Relaxing teak wood garden swing","Teak Wood,3-Seater,Weather Resistant,Comfortable Cushions","Dimensions: 180 x 120 x 200 cm, Weight: 65 kg, Warranty: 3 Years"
604,604-GS-MT,Garden Swing (Metal),Outdoor,Garden Furniture,Outdoor,Steel,Green,2-Seater,22000,26000,https://picsum.photos/seed/604-gsmt/800,FALSE,4.3,67,"Durable steel garden swing with canopy","Steel Frame,2-Seater,Canopy,Green Color","Dimensions: 150 x 100 x 180 cm, Weight: 45 kg, Warranty: 2 Years"

605,605-OU-TBL,Outdoor Coffee Table,Outdoor,Outdoor Tables,Outdoor,Teak Wood,Natural Teak,Standard,18000,22000,https://picsum.photos/seed/605-outbl/800,FALSE,4.4,56,"Weather-resistant teak outdoor coffee table","Teak Wood,Weather Resistant,Elegant Design,Natural Finish","Dimensions: 100 x 60 x 45 cm, Weight: 25 kg, Warranty: 3 Years"
605,605-OU-SIDE,Outdoor Side Table,Outdoor,Outdoor Tables,Outdoor,Aluminum,Black,Small,8000,10000,https://picsum.photos/seed/605-ouside/800,FALSE,4.2,34,"Compact aluminum outdoor side table","Aluminum Construction,Black Finish,Compact Size,Weather Resistant","Dimensions: 50 x 50 x 50 cm, Weight: 8 kg, Warranty: 1 Year"
